 to your browser,para o seu navegador
"""Company History""","""História da Empresa"""
"""Parent"" signifies the parent table in which this row must be added","""Parent"" significa a tabela pai na qual esta linha deve ser adicionada"
"""Team Members"" or ""Management""","""Membros da equipe"" ou ""Gerenciamento"""
"""amended_from"" field must be present to do an amendment.","O campo ""amended_from"" deve estar presente para fazer uma alteração."
"""{0}"" is not a valid Google Sheets URL","""{0}"" não é um URL válido do Planilhas Google"
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} foi adicionado à fila para otimização
&copy; Frappe Technologies Pvt. Ltd. and contributors,&cópia; Frappe Technologies Unip. Ltd. e colaboradores
&lt;head&gt; HTML,&lt;cabeça&gt; HTML
'In Global Search' is not allowed for field {0} of type {1},'Na Pesquisa Global' não é permitido para o campo {0} do tipo {1}
'In Global Search' not allowed for type {0} in row {1},'Na Pesquisa Global' não é permitido para o tipo {0} na linha {1}
'In List View' is not allowed for field {0} of type {1},'Na visualização de lista' não é permitido para o campo {0} do tipo {1}
'In List View' not allowed for type {0} in row {1},'Na visualização de lista' não é permitido para o tipo {0} na linha {1}
'Recipients' not specified,'Destinatários' não especificados
'{0}' is not a valid URL,'{0}' não é um URL válido
'{0}' not allowed for type {1} in row {2},'{0}' não permitido para o tipo {1} na linha {2}
(Mandatory),(Obrigatório)
** Failed: {0} to {1}: {2},** Falha: {0} a {1}: {2}
+ Add / Remove Fields,+ Adicionar/Remover Campos
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 - Cancelado
0 is highest,0 é o mais alto
00ee,00ee
057f,057f
06cf,06cf
0cfb,0cfb
1 = True & 0 = False,1 = Verdadeiro e 0 = Falso
1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent,"1 Moeda = [?] Fração|||Por exemplo, 1 USD = 100 centavos"
1 Day,1 dia
1 Google Calendar Event synced.,1 evento do Google Agenda sincronizado.
1 Report,1 relatório
1 comment,1 comentário
1 day ago,1 dia atrás
1 hour,1 hora
1 hour ago,1 hora atrás
1 minute ago,1 minuto atrás
1 month ago,1 mês atrás
1 of 2,1 de 2
1 record will be exported,1 registro será exportado
1 second ago,1 segundo atrás
1 week ago,1 semana atrás
1 year ago,1 ano atrás
13d5,13d5
14c3,14c3
159b,159b
16:9,16:9
17c2,17c2
1:1,1:1
1be4,1be4
1c0b,1c0b
1c7e,1c7e
1d80,1d80
1dde,1dde
2 hours ago,2 horas atrás
2 months ago,2 meses atrás
2 weeks ago,2 semanas atrás
2 years ago,2 anos atrás
23cb,23cb
23e7,23e7
241c,241c
25f0,25f0
2ca0,2 como 0
2d00,2d00
3 minutes ago,3 minutos atrás
30 minutes,30 minutos
342f,342f
35a1,35a1
37e8,37e8
3bbe,3bbe
3ca3,3ca3
3f8c,3f8c
4 hours,4 horas
428f,428f
44ad,44anúncio
44d2,44d2
44e7,44e7
4:3,4:3
4d64,4d64
4de4,4de4
4df4,4df4
4fad,4fad
5 Records,5 registros
5 days ago,5 dias atrás
50c4,50c4
56ef,56ef
5a34,5a34
5c6c,5c6c
5db7,5db7
65f0,65f0
69f3,69f3
6eeb,6eeb
6f53,6f53
73d9,73d9
746f,746f
7b0b,7b0b
7c73,7c73
7dd0,7dd0
7f9a,7f9a
825a,825a
83ab,83ab
861d,861d
8aa5,8aa5
8bbf,8bbf
90e3,90e3
94ca,94ca
99af,99af
9bdd,9bdd
9bf2,9bf2
9ed3,9ed3
9f7f,9f7f
; not allowed in condition,; não permitido em condições
<b>{0}</b> is not a valid URL,<b>{0}</b> não é um URL válido
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Por favor, não atualize-o, pois isso pode atrapalhar seu formulário. Use Personalizar visualização de formulário e campos personalizados para definir propriedades!</div>"
