source,pt_PT
 You are impersonating as another user.,Você está se passando por outro usuário.
"""Company History""","""História da Empresa"""
"""Team Members"" or ""Management""","""Membros da equipe"" ou ""Gerenciamento"""
"""amended_from"" field must be present to do an amendment.","O campo ""amended_from"" deve estar presente para fazer uma alteração."
"""{0}"" is not a valid Google Sheets URL","""{0}"" não é um URL válido do Planilhas Google"
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} foi adicionado à fila para otimização
&copy; Frappe Technologies Pvt. Ltd. and contributors,&cópia; Frappe Technologies Unip. Ltd. e colaboradores
&lt;head&gt; HTML,&lt;cabeça&gt; HTML
'*' is only allowed in {0} SQL function(s),'*' só é permitido em {0} funções SQL
'In Global Search' is not allowed for field {0} of type {1},'Na Pesquisa Global' não é permitido para o campo {0} do tipo {1}
'In Global Search' not allowed for type {0} in row {1},'Na Pesquisa Global' não é permitido para o tipo {0} na linha {1}
'In List View' is not allowed for field {0} of type {1},'Na visualização de lista' não é permitido para o campo {0} do tipo {1}
'In List View' not allowed for type {0} in row {1},'Na visualização de lista' não é permitido para o tipo {0} na linha {1}
** Failed: {0} to {1}: {2},** Falha: {0} a {1}: {2}
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 – Cancelado
0 - too guessable: risky password.|||<br>|||1 - very guessable: protection from throttled online attacks. |||<br>|||2 - somewhat guessable: protection from unthrottled online attacks.|||<br>|||3 - safely unguessable: moderate protection from offline slow-hash scenario.|||<br>|||4 - very unguessable: strong protection from offline slow-hash scenario.,0 - muito previsível: senha arriscada.|||<br>|||1 - muito previsível: proteção contra ataques on-line limitados. |||<br>|||2 - algo previsível: proteção contra ataques on-line desenfreados.|||<br>|||3 - segurança inquestionável: proteção moderada contra cenário de hash lento off-line.|||<br>|||4 - muito imprevisível: proteção forte contra cenário de hash lento off-line.
0 is highest,0 é o mais alto
00ee,00ee
057f,057f
06cf,06cf
0cfb,0cfb
1 = True & 0 = False,1 = Verdadeiro e 0 = Falso
1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent,"1 Moeda = [?] Fração|||Por exemplo, 1 USD = 100 centavos"
1 row from {0},1 linha de {0}
1 row to {0},1 linha para {0}
13d5,13d5
14c3,14c3
159b,159b
16:9,16:9
17c2,17c2
1:1,1:1
1be4,1be4
1c0b,1c0b
1c7e,1c7e
1d80,1d80
1dde,1dde
23cb,23cb
23e7,23e7
241c,241c
25f0,25f0
2ca0,2 como 0
2d00,2d00
342f,342f
35a1,35a1
37e8,37e8
3bbe,3bbe
3ca3,3ca3
3f8c,3f8c
428f,428f
44ad,44anúncio
44d2,44d2
44e7,44e7
4:3,4:3
4d64,4d64
4de4,4de4
4df4,4df4
4fad,4fad
50c4,50c4
56ef,56ef
5a34,5a34
5c6c,5c6c
5db7,5db7
65f0,65f0
69f3,69f3
6eeb,6eeb
6f53,6f53
73d9,73d9
746f,746f
7b0b,7b0b
7c73,7c73
7dd0,7dd0
7f9a,7f9a
825a,825a
83ab,83ab
861d,861d
8aa5,8aa5
8bbf,8bbf
90e3,90e3
94ca,94ca
99af,99af
9bdd,9bdd
9bf2,9bf2
9ed3,9ed3
9f7f,9f7f
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Por favor, não atualize-o, pois isso pode atrapalhar seu formulário. Use Personalizar visualização de formulário e campos personalizados para definir propriedades!</div>"
